artist,artist_uri,artist_genre,album_name,album_uri,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,time_signature,isWestern
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,DDU-DU DDU-DU - Live,spotify:track:437Wn1icOBdhQaVnpJpl0F,0.55,0.901,11,-4.635,0,0.228,0.0184,5.07e-06,0.368,0.359,139.916,210268,52,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,Forever Young - Live,spotify:track:3RTSq1hwAr5CHB10SiWeDX,0.501,0.929,1,-4.592,0,0.101,0.0675,0.0,0.476,0.371,109.612,257435,43,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,STAY (Remix Version) - Live,spotify:track:6zlLFk0ZjBkA80p6xcZ8Ac,0.564,0.776,1,-4.999,1,0.0457,0.276,0.0,0.332,0.456,87.952,222961,40,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,WHISTLE - Live,spotify:track:2QG3xa5guVkZhqZtuZZKgz,0.714,0.813,1,-5.183,1,0.0849,0.0319,0.0,0.68,0.511,103.019,218256,40,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,YOU & I + ONLY LOOK AT ME - Live,spotify:track:59DULbyccrhJJb3Ko2bXFz,0.331,0.6,4,-6.17,1,0.051,0.469,0.0,0.473,0.208,139.78,190992,42,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,SOLO - Live,spotify:track:40HHE2cHpWC3JajQytQUtD,0.593,0.682,3,-6.755,0,0.287,0.0872,0.0,0.86,0.239,95.218,182868,42,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,Really (Reggae Version) - Live,spotify:track:3mGle2Kpzw3E6G0g0T79QN,0.635,0.908,1,-4.433,1,0.117,0.132,0.0,0.435,0.77,141.99,210817,39,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,See U Later - Live,spotify:track:0ZnRursj0XlLszToN6wNV2,0.71,0.914,11,-5.421,0,0.1,0.00924,1.44e-05,0.358,0.494,107.024,303275,38,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,PLAYING WITH FIRE - Live,spotify:track:3fo1Z8nJX9gRHYPjb4mgJs,0.607,0.77,11,-4.842,0,0.0463,0.0476,0.0,0.69,0.462,97.083,199033,40,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,BOOMBAYAH - Live,spotify:track:5SK8ZoIj62LTcRW7OQ8vtZ,0.613,0.863,10,-4.388,0,0.0826,0.0786,0.0,0.342,0.409,124.922,247735,41,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,As If It's Your Last - Live,spotify:track:3KcrCvutXhEEinowTrLfN4,0.643,0.918,8,-3.866,1,0.107,0.19,0.0,0.592,0.428,125.0,224629,40,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,WHISTLE (Remix Version) - Live,spotify:track:6w5egqwHmhrBJsw8soFcuU,0.681,0.923,9,-3.781,1,0.0935,0.14,0.0,0.409,0.532,112.952,194342,39,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,DDU DDU-DU (Remix Version) - Live,spotify:track:1b7PAugOHr8ZjD1Dbj8fON,0.58,0.896,4,-3.411,0,0.131,0.0413,0.0,0.449,0.379,139.973,207169,40,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),spotify:album:4i0XmhtxZBPxwpgNeJ1Tvg,STAY - Live,spotify:track:7ov2yk9ZbtJoOpcd7QoRwd,0.342,0.39,1,-8.777,1,0.0477,0.594,0.0,0.966,0.489,175.027,261940,37,4,0
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,"['k-pop', 'k-pop girl group']",BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL - Live,spotify:album:1Q2x3A0YKL8IB7FYL82QiS,STAY - Live - Remix,spotify:track:1ULCr3veBCQax14sdKx8Zz,0.564,0.776,1,-4.999,1,0.0457,0.276,0.0,0.332,0.456,87.952,222961,41,4,0
